"Entry","Name","DTF","DTS","DTM"
229,"PI 374120 LSP AGL",125.666666666667,149.333333333333,178
230,"PI 374121 AGL",136.666666666667,155.333333333333,175
231,"PI 379368 LSP AGL",136,154.333333333333,174.333333333333
232,"PI 383682 LSP AGL",141.333333333333,159.333333333333,184
233,"PI 420818 AGL",129.333333333333,151.666666666667,183.666666666667
234,"PI 420924 LSP AGL",127.666666666667,146,174.666666666667
235,"PI 420925 LSP AGL",125.333333333333,143.333333333333,173
236,"PI 420929 LSP AGL",127.666666666667,144.666666666667,171
237,"PI 426202 LSP AGL",146.666666666667,164,182.333333333333
238,"PI 426778 LSP AGL",143.666666666667,159.666666666667,180.666666666667
239,"PI 426784 LSP AGL",116.333333333333,132.666666666667,166.333333333333
240,"PI 426797 LSP AGL",118.666666666667,138,164
241,"PI 426807 LSP AGL",127.333333333333,144.666666666667,167.666666666667
242,"PI 431618 LSP AGL",135,156,181
243,"PI 431622 LSP AGL",145,158.666666666667,181
244,"PI 431630 LSP AGL",154,164.666666666667,184
245,"PI 431633 LSP AGL",134,155.666666666667,176.333333333333
246,"PI 431636 LSP AGL",141.333333333333,158.666666666667,184
247,"PI 431643 LSP AGL",133.666666666667,153,181
248,"PI 431662 LSP AGL",143,161.333333333333,179.333333333333
249,"PI 431663 LSP AGL",146.333333333333,163.666666666667,182
250,"PI 431679 LSP AGL",153.666666666667,168.333333333333,186.666666666667
251,"PI 431684 LSP AGL",148.666666666667,164,181
252,"PI 431705 LSP AGL",145,161.333333333333,179
253,"PI 431710 LSP AGL",146,163.666666666667,182
254,"PI 431714 LSP AGL",144.666666666667,158.333333333333,176
255,"PI 431717 LSP AGL",147.666666666667,164,180.666666666667
256,"PI 431728 LSP AGL",146.333333333333,163.666666666667,183.666666666667
257,"PI 431731 LSP AGL",138.666666666667,157.333333333333,176.333333333333
258,"PI 431739 LSP AGL",131.666666666667,156.333333333333,174.666666666667
259,"PI 431753 LSP AGL",145.666666666667,161.666666666667,179
260,"PI 431756 LSP AGL",148.666666666667,164,184
261,"PI 431809 LSP AGL",143.666666666667,158.333333333333,183.666666666667
262,"PI 431824 LSP AGL",135.666666666667,156,180.666666666667
263,"PI 431863 LSP AGL",147,163.666666666667,183.666666666667
264,"PI 431873 LSP AGL",147,163.666666666667,179
265,"PI 431884 LSP AGL",141,157,183.666666666667
266,"PI 431888 LSP AGL",145.666666666667,163.666666666667,180.666666666667
267,"PI 431923 LSP AGL",144,164,182.333333333333
268,"PI 431980 LSP AGL",140.666666666667,156.666666666667,181
269,"PI 432000 LSP AGL",146,164,184
270,"PI 432001 LSP AGL",138.666666666667,156.666666666667,175
271,"PI 432002 LSP AGL",148.333333333333,163.666666666667,180.666666666667
272,"PI 432005 LSP AGL",142.333333333333,158.333333333333,177.333333333333
273,"PI 432028 LSP AGL",146.666666666667,164,178
274,"PI 432033 LSP AGL",144,164,182.333333333333
275,"PI 432085 LSP AGL",134.666666666667,152.333333333333,174.666666666667
276,"PI 432106 LSP AGL",144,164,184
277,"PI 432124 LSP AGL",144.666666666667,163.666666666667,174.333333333333
278,"PI 432145 LSP AGL",154,167.333333333333,179.333333333333
279,"PI 432147 LSP AGL",149.666666666667,163.666666666667,183.666666666667
280,"PI 432184 LSP AGL",136.666666666667,161.333333333333,177.666666666667
281,"PI 432188 LSP AGL",134.666666666667,151.666666666667,177.666666666667
282,"PI 432190 LSP AGL",132.666666666667,158.666666666667,178
