"REF_DATE","GEO","DGUID","Trade","Basis","Seasonal adjustment","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-10","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","30846.9","","","","1"
"2001-11","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","29188.8","","","","1"
"2001-12","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","24726.6","","","","1"
"2002-01","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","26588.8","","","","1"
"2002-02","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","27580.9","","","","1"
"2002-03","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","29853.4","","","","1"
"2002-04","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","31091.7","","","","1"
"2002-05","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","31142.7","","","","1"
"2002-06","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","30616.5","","","","1"
"2002-07","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","27060.7","","","","1"
"2002-08","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","31095.0","","","","1"
"2002-09","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","30050.2","","","","1"
"2002-10","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","32973.2","","","","1"
"2002-11","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","30664.6","","","","1"
"2002-12","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","27911.6","","","","1"
"2003-01","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","28469.0","","","","1"
"2003-02","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","28659.8","","","","1"
"2003-03","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","31822.7","","","","1"
"2003-04","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","30420.8","","","","1"
"2003-05","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","30037.1","","","","1"
"2003-06","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","28788.3","","","","1"
"2003-07","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","25829.5","","","","1"
"2003-08","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","26271.7","","","","1"
