Expt,Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
Ne17,"Bardiya, Nepal",2017,2018-01-18,7:14:24,Weather Station,Day Length,Hours,10.44,76
Ne17,"Bardiya, Nepal",2017,2018-01-19,7:14:24,Weather Station,Day Length,Hours,10.46,77
Ne17,"Bardiya, Nepal",2017,2018-01-20,7:14:24,Weather Station,Day Length,Hours,10.48,78
Ne17,"Bardiya, Nepal",2017,2018-01-21,7:13:48,Weather Station,Day Length,Hours,10.5,79
Ne17,"Bardiya, Nepal",2017,2018-01-22,7:13:48,Weather Station,Day Length,Hours,10.52,80
Ne17,"Bardiya, Nepal",2017,2018-01-23,7:13:12,Weather Station,Day Length,Hours,10.54,81
Ne17,"Bardiya, Nepal",2017,2018-01-24,7:13:12,Weather Station,Day Length,Hours,10.56,82
Ne17,"Bardiya, Nepal",2017,2018-01-25,7:12:36,Weather Station,Day Length,Hours,10.58,83
Ne17,"Bardiya, Nepal",2017,2018-01-26,7:12:00,Weather Station,Day Length,Hours,10.6,84
Ne17,"Bardiya, Nepal",2017,2018-01-27,7:12:00,Weather Station,Day Length,Hours,10.62,85
Ne17,"Bardiya, Nepal",2017,2018-01-28,7:11:24,Weather Station,Day Length,Hours,10.64,86
Ne17,"Bardiya, Nepal",2017,2018-01-29,7:10:48,Weather Station,Day Length,Hours,10.66,87
Ne17,"Bardiya, Nepal",2017,2018-01-30,7:10:12,Weather Station,Day Length,Hours,10.68,88
Ne17,"Bardiya, Nepal",2017,2018-01-31,7:09:36,Weather Station,Day Length,Hours,10.71,89
Ne17,"Bardiya, Nepal",2017,2018-02-01,7:09:36,Weather Station,Day Length,Hours,10.73,90
Ne17,"Bardiya, Nepal",2017,2018-02-02,7:09:00,Weather Station,Day Length,Hours,10.75,91
Ne17,"Bardiya, Nepal",2017,2018-02-03,7:08:24,Weather Station,Day Length,Hours,10.77,92
Ne17,"Bardiya, Nepal",2017,2018-02-04,7:07:48,Weather Station,Day Length,Hours,10.8,93
Ne17,"Bardiya, Nepal",2017,2018-02-05,7:07:12,Weather Station,Day Length,Hours,10.82,94
Ne17,"Bardiya, Nepal",2017,2018-02-06,7:06:00,Weather Station,Day Length,Hours,10.85,95
Ne17,"Bardiya, Nepal",2017,2018-02-07,7:05:24,Weather Station,Day Length,Hours,10.87,96
Ne17,"Bardiya, Nepal",2017,2018-02-08,7:04:48,Weather Station,Day Length,Hours,10.89,97
Ne17,"Bardiya, Nepal",2017,2018-02-09,7:04:12,Weather Station,Day Length,Hours,10.92,98
Ne17,"Bardiya, Nepal",2017,2018-02-10,7:03:36,Weather Station,Day Length,Hours,10.95,99
Ne17,"Bardiya, Nepal",2017,2018-02-11,7:02:24,Weather Station,Day Length,Hours,10.97,100
Ne17,"Bardiya, Nepal",2017,2018-02-12,7:01:48,Weather Station,Day Length,Hours,11,101
Ne17,"Bardiya, Nepal",2017,2018-02-13,7:01:12,Weather Station,Day Length,Hours,11.02,102
Ne17,"Bardiya, Nepal",2017,2018-02-14,7:00:36,Weather Station,Day Length,Hours,11.05,103
Ne17,"Bardiya, Nepal",2017,2018-02-15,6:59:24,Weather Station,Day Length,Hours,11.07,104
Ne17,"Bardiya, Nepal",2017,2018-02-16,6:58:48,Weather Station,Day Length,Hours,11.1,105
Ne17,"Bardiya, Nepal",2017,2018-02-17,6:57:36,Weather Station,Day Length,Hours,11.13,106
Ne17,"Bardiya, Nepal",2017,2018-02-18,6:57:00,Weather Station,Day Length,Hours,11.15,107
Ne17,"Bardiya, Nepal",2017,2018-02-19,6:55:48,Weather Station,Day Length,Hours,11.18,108
Ne17,"Bardiya, Nepal",2017,2018-02-20,6:55:12,Weather Station,Day Length,Hours,11.21,109
Ne17,"Bardiya, Nepal",2017,2018-02-21,6:54:00,Weather Station,Day Length,Hours,11.23,110
Ne17,"Bardiya, Nepal",2017,2018-02-22,6:53:24,Weather Station,Day Length,Hours,11.26,111
Ne17,"Bardiya, Nepal",2017,2018-02-23,6:52:12,Weather Station,Day Length,Hours,11.29,112
Ne17,"Bardiya, Nepal",2017,2018-02-24,6:51:00,Weather Station,Day Length,Hours,11.32,113
Ne17,"Bardiya, Nepal",2017,2018-02-25,6:50:24,Weather Station,Day Length,Hours,11.34,114
Ne17,"Bardiya, Nepal",2017,2018-02-26,6:49:12,Weather Station,Day Length,Hours,11.37,115
Ne17,"Bardiya, Nepal",2017,2018-02-27,6:48:00,Weather Station,Day Length,Hours,11.4,116
Ne17,"Bardiya, Nepal",2017,2018-02-28,6:47:24,Weather Station,Day Length,Hours,11.43,117
Ne17,"Bardiya, Nepal",2017,2018-03-01,6:46:12,Weather Station,Day Length,Hours,11.46,118
Ne17,"Bardiya, Nepal",2017,2018-03-02,6:45:00,Weather Station,Day Length,Hours,11.48,119
Ne17,"Bardiya, Nepal",2017,2018-03-03,6:44:24,Weather Station,Day Length,Hours,11.51,120
Ne17,"Bardiya, Nepal",2017,2018-03-04,6:43:12,Weather Station,Day Length,Hours,11.54,121
Ne17,"Bardiya, Nepal",2017,2018-03-05,6:42:00,Weather Station,Day Length,Hours,11.57,122
Ne17,"Bardiya, Nepal",2017,2018-03-06,6:40:48,Weather Station,Day Length,Hours,11.6,123
Ne17,"Bardiya, Nepal",2017,2018-03-07,6:39:36,Weather Station,Day Length,Hours,11.62,124
Ne17,"Bardiya, Nepal",2017,2018-03-08,6:39:00,Weather Station,Day Length,Hours,11.65,125
Ne17,"Bardiya, Nepal",2017,2018-03-09,6:37:48,Weather Station,Day Length,Hours,11.68,126
Ne17,"Bardiya, Nepal",2017,2018-03-10,6:36:36,Weather Station,Day Length,Hours,11.71,127
Ne17,"Bardiya, Nepal",2017,2018-03-11,6:35:24,Weather Station,Day Length,Hours,11.74,128
Ne17,"Bardiya, Nepal",2017,2018-03-12,6:34:12,Weather Station,Day Length,Hours,11.77,129
Ne17,"Bardiya, Nepal",2017,2018-03-13,6:33:00,Weather Station,Day Length,Hours,11.8,130
Ne17,"Bardiya, Nepal",2017,2018-03-14,6:31:48,Weather Station,Day Length,Hours,11.82,131
Ne17,"Bardiya, Nepal",2017,2018-03-15,6:30:36,Weather Station,Day Length,Hours,11.85,132
Ne17,"Bardiya, Nepal",2017,2018-03-16,6:30:00,Weather Station,Day Length,Hours,11.88,133
Ne17,"Bardiya, Nepal",2017,2018-03-17,6:28:48,Weather Station,Day Length,Hours,11.91,134
Ne17,"Bardiya, Nepal",2017,2018-03-18,6:27:36,Weather Station,Day Length,Hours,11.94,135
Ne17,"Bardiya, Nepal",2017,2018-03-19,6:26:24,Weather Station,Day Length,Hours,11.97,136
