Entry,Name,Expt,DTF,DTM
12,CDC Maxim AGL,Mo16,122.6666667,157.6666667
12,CDC Maxim AGL,Mo17,117,157.6666667
12,CDC Maxim AGL,It16,129.6666667,172.6666667
12,CDC Maxim AGL,It17,138.6666667,172.3333333
13,CDC QG-1 AGL,Ro16,50.66666667,98.66666667
13,CDC QG-1 AGL,Ro17,51.66666667,NA
13,CDC QG-1 AGL,Su16,56,103
13,CDC QG-1 AGL,Su17,57.66666667,NA
13,CDC QG-1 AGL,Su18,49.66666667,100.6666667
13,CDC QG-1 AGL,Us18,66,99
13,CDC QG-1 AGL,In16,85,NA
13,CDC QG-1 AGL,In17,85,NA
13,CDC QG-1 AGL,Ba16,82,NA
13,CDC QG-1 AGL,Ba17,89,112
13,CDC QG-1 AGL,Ne16,117,NA
13,CDC QG-1 AGL,Ne17,126.6666667,155.6666667
13,CDC QG-1 AGL,Sp16,124.3333333,153
13,CDC QG-1 AGL,Sp17,131.3333333,155.3333333
13,CDC QG-1 AGL,Mo16,132.6666667,163.3333333
13,CDC QG-1 AGL,Mo17,126,166.3333333
13,CDC QG-1 AGL,It16,147.3333333,184
13,CDC QG-1 AGL,It17,145,177.6666667
14,CDC Red Rider AGL,Ro16,51.66666667,98.66666667
14,CDC Red Rider AGL,Ro17,49,80
14,CDC Red Rider AGL,Su16,56,101
14,CDC Red Rider AGL,Su17,57,90
14,CDC Red Rider AGL,Su18,49.66666667,99
14,CDC Red Rider AGL,Us18,62,96
14,CDC Red Rider AGL,In16,86,NA
14,CDC Red Rider AGL,In17,85,NA
14,CDC Red Rider AGL,Ba16,83,NA
14,CDC Red Rider AGL,Ba17,84,95.5
14,CDC Red Rider AGL,Ne16,131,NA
14,CDC Red Rider AGL,Ne17,123.5,158
14,CDC Red Rider AGL,Sp16,117,156
14,CDC Red Rider AGL,Sp17,131,155.3333333
14,CDC Red Rider AGL,Mo16,130.3333333,158.6666667
14,CDC Red Rider AGL,Mo17,127,166.3333333
14,CDC Red Rider AGL,It16,127.6666667,180.6666667
14,CDC Red Rider AGL,It17,141,173.6666667
15,CDC Redcoat AGL,Ro16,51,98
15,CDC Redcoat AGL,Ro17,50,NA
15,CDC Redcoat AGL,Su16,56,103.3333333
15,CDC Redcoat AGL,Su17,57.66666667,90
15,CDC Redcoat AGL,Su18,49,89.66666667
15,CDC Redcoat AGL,Us18,61,95
15,CDC Redcoat AGL,In16,86,NA
15,CDC Redcoat AGL,In17,85,NA
15,CDC Redcoat AGL,Ba16,104,NA
15,CDC Redcoat AGL,Ba17,98.66666667,NA
15,CDC Redcoat AGL,Ne16,124.5,146
15,CDC Redcoat AGL,Ne17,126.6666667,156.3333333
15,CDC Redcoat AGL,Sp16,117,150
15,CDC Redcoat AGL,Sp17,124.6666667,151.6666667
15,CDC Redcoat AGL,Mo16,128,154.3333333
15,CDC Redcoat AGL,Mo17,121.6666667,162.6666667
15,CDC Redcoat AGL,It16,128,172.6666667
15,CDC Redcoat AGL,It17,138.6666667,171
16,CDC Redwing AGL,Ro16,49.66666667,96
16,CDC Redwing AGL,Ro17,48.33333333,82
16,CDC Redwing AGL,Su16,53.66666667,96.66666667
16,CDC Redwing AGL,Su17,57.33333333,90
16,CDC Redwing AGL,Su18,47.33333333,92.33333333
16,CDC Redwing AGL,Us18,60.66666667,92
16,CDC Redwing AGL,In16,86,NA
16,CDC Redwing AGL,In17,85,NA
16,CDC Redwing AGL,Ba16,104,NA
16,CDC Redwing AGL,Ba17,98,NA
16,CDC Redwing AGL,Ne16,125.3333333,149
16,CDC Redwing AGL,Ne17,128.6666667,157.3333333
16,CDC Redwing AGL,Sp16,117.3333333,148.6666667
16,CDC Redwing AGL,Sp17,126.6666667,151.6666667
16,CDC Redwing AGL,Mo16,126,160
16,CDC Redwing AGL,Mo17,118.6666667,158.6666667
16,CDC Redwing AGL,It16,129.6666667,175
16,CDC Redwing AGL,It17,138.6666667,169.6666667
17,CDC Robin AGL,Ro16,46.66666667,98
17,CDC Robin AGL,Ro17,47,82
17,CDC Robin AGL,Su16,53,99.33333333
17,CDC Robin AGL,Su17,52,89
17,CDC Robin AGL,Su18,47,88.66666667
17,CDC Robin AGL,Us18,63.5,94
17,CDC Robin AGL,In16,84,NA
17,CDC Robin AGL,In17,85,NA
17,CDC Robin AGL,Ba16,79.66666667,122.6666667
17,CDC Robin AGL,Ba17,84.33333333,109.3333333
17,CDC Robin AGL,Ne16,120,147.5
17,CDC Robin AGL,Ne17,124.6666667,152
17,CDC Robin AGL,Sp16,117,148.6666667
