Entry,Expt,MacroEnv,DTF,Predicted_DTF
50,It16,Macroenvironment 3,147.6666667,148.0396974
51,Ca16,Macroenvironment 1,48.33333333,46.93491902
51,Ne16,Macroenvironment 2,121.3333333,90.28973742
51,It16,Macroenvironment 3,141.3333333,143.9262167
52,Ca16,Macroenvironment 1,43.33333333,43.82846277
52,Ne16,Macroenvironment 2,100,73.50537314
52,It16,Macroenvironment 3,114,112.2374233
53,Ca16,Macroenvironment 1,48.33333333,47.41274226
53,Ne16,Macroenvironment 2,88,64.83215822
53,It16,Macroenvironment 3,108,107.9045695
54,Ca16,Macroenvironment 1,44.33333333,44.36559339
54,Ne16,Macroenvironment 2,98,68.18118466
54,It16,Macroenvironment 3,116,110.0652855
55,Ca16,Macroenvironment 1,46.33333333,44.04348909
55,Ne16,Macroenvironment 2,87.5,66.58729921
55,It16,Macroenvironment 3,114,114.8855367
56,Ca16,Macroenvironment 1,45.33333333,44.900793
56,Ne16,Macroenvironment 2,99.33333333,74.82713628
56,It16,Macroenvironment 3,114,111.9152934
57,Ca16,Macroenvironment 1,44.33333333,44.3561253
57,Ne16,Macroenvironment 2,92.33333333,67.23838163
57,It16,Macroenvironment 3,116.3333333,110.6097833
58,Ca16,Macroenvironment 1,45.33333333,44.50667402
58,Ne16,Macroenvironment 2,89.66666667,65.87952584
58,It16,Macroenvironment 3,113.6666667,111.9717015
59,Ca16,Macroenvironment 1,44,43.90006204
59,Ne16,Macroenvironment 2,86.66666667,67.14368963
59,It16,Macroenvironment 3,112,112.2890181
60,Ca16,Macroenvironment 1,48,46.74634872
60,Ne16,Macroenvironment 2,123.6666667,89.31698983
60,It16,Macroenvironment 3,144.6666667,145.6280692
61,Ca16,Macroenvironment 1,45.66666667,45.58497345
61,Ne16,Macroenvironment 2,103.5,83.79907992
61,It16,Macroenvironment 3,134.3333333,139.8404049
62,Ca16,Macroenvironment 1,49,49.05795554
62,Ne16,Macroenvironment 2,132,101.5525679
62,It16,Macroenvironment 3,141.3333333,144.1697473
63,Ca16,Macroenvironment 1,47.66666667,46.00300961
63,Ne16,Macroenvironment 2,99.66666667,84.67299592
63,It16,Macroenvironment 3,120.6666667,121.5675738
64,Ca16,Macroenvironment 1,46.33333333,45.09891683
64,Ne16,Macroenvironment 2,125.5,93.86461988
64,It16,Macroenvironment 3,133.6666667,135.9644399
65,Ca16,Macroenvironment 1,49.33333333,46.18004093
65,Ne16,Macroenvironment 2,125,99.94138581
65,It16,Macroenvironment 3,129.3333333,132.3027056
66,Ca16,Macroenvironment 1,50,48.96286143
66,Ne16,Macroenvironment 2,119.6666667,77.521435
66,It16,Macroenvironment 3,131,142.6910742
67,Ca16,Macroenvironment 1,46.66666667,44.80791899
67,Ne16,Macroenvironment 2,95.33333333,75.8513998
67,It16,Macroenvironment 3,113.6666667,112.9276669
68,Ca16,Macroenvironment 1,45.33333333,44.45540288
68,Ne16,Macroenvironment 2,106.6666667,86.59484254
68,It16,Macroenvironment 3,120.6666667,124.5661048
69,Ca16,Macroenvironment 1,49.66666667,46.92114149
69,Ne16,Macroenvironment 2,124,97.09526394
69,It16,Macroenvironment 3,127.6666667,130.2846746
70,Ca16,Macroenvironment 1,46,44.33375187
70,Ne16,Macroenvironment 2,96.66666667,81.05708677
70,It16,Macroenvironment 3,119.3333333,116.524849
71,Ca16,Macroenvironment 1,48.33333333,46.69798252
71,Ne16,Macroenvironment 2,124.5,96.99900064
71,It16,Macroenvironment 3,134,137.0229588
72,Ca16,Macroenvironment 1,45,44.98160676
72,Ne16,Macroenvironment 2,95.33333333,78.02668735
72,It16,Macroenvironment 3,121,115.9827711
73,Ca16,Macroenvironment 1,47,45.86774112
73,Ne16,Macroenvironment 2,116.3333333,91.91783882
73,It16,Macroenvironment 3,128,129.4375291
74,Ca16,Macroenvironment 1,46.33333333,44.08912318
74,Ne16,Macroenvironment 2,102,86.18699006
74,It16,Macroenvironment 3,120.6666667,121.4469514
75,Ca16,Macroenvironment 1,47.33333333,45.79570083
75,Ne16,Macroenvironment 2,121.6666667,95.57021418
75,It16,Macroenvironment 3,123.6666667,124.2477101
76,Ca16,Macroenvironment 1,48.66666667,48.57519342
76,Ne16,Macroenvironment 2,118.3333333,95.48891402
76,It16,Macroenvironment 3,134.6666667,135.61615
77,Ca16,Macroenvironment 1,47.33333333,46.67462644
77,Ne16,Macroenvironment 2,85,64.21283434
77,It16,Macroenvironment 3,111.6666667,108.0692765
78,Ca16,Macroenvironment 1,49,47.30033404
78,Ne16,Macroenvironment 2,126.3333333,100.5635795
78,It16,Macroenvironment 3,133.6666667,135.7738042
79,Ca16,Macroenvironment 1,49.33333333,49.59943307
79,Ne16,Macroenvironment 2,119.6666667,92.16758789
79,It16,Macroenvironment 3,134.3333333,136.4818816
80,Ca16,Macroenvironment 1,52,49.8128408
80,Ne16,Macroenvironment 2,123.5,96.90227187
80,It16,Macroenvironment 3,133.3333333,133.9461082
81,Ca16,Macroenvironment 1,44.33333333,42.74313494
81,Ne16,Macroenvironment 2,102.3333333,77.83400991
81,It16,Macroenvironment 3,116.3333333,113.8788055
82,Ca16,Macroenvironment 1,45,42.40904858
82,Ne16,Macroenvironment 2,102,76.55600207
82,It16,Macroenvironment 3,116.3333333,114.8043823
83,Ca16,Macroenvironment 1,54,51.93852843
83,Ne16,Macroenvironment 2,123.3333333,97.22431227
83,It16,Macroenvironment 3,137.3333333,147.0850308
84,Ca16,Macroenvironment 1,47.66666667,45.92140649
84,Ne16,Macroenvironment 2,118,93.764042
84,It16,Macroenvironment 3,127.6666667,130.513144
85,Ca16,Macroenvironment 1,55.66666667,53.64630617
85,Ne16,Macroenvironment 2,125,97.73120985
85,It16,Macroenvironment 3,152,153.3428634
86,Ca16,Macroenvironment 1,52.33333333,50.74936392
86,Ne16,Macroenvironment 2,112.5,92.70897825
86,It16,Macroenvironment 3,141.3333333,148.0763833
87,Ca16,Macroenvironment 1,55.33333333,53.39220339
87,Ne16,Macroenvironment 2,134.6666667,102.8754438
87,It16,Macroenvironment 3,146.3333333,144.79523
88,Ca16,Macroenvironment 1,49,47.0288196
88,Ne16,Macroenvironment 2,120,96.00308392
88,It16,Macroenvironment 3,125.6666667,126.1396505
89,Ca16,Macroenvironment 1,47.66666667,46.34647595
89,Ne16,Macroenvironment 2,127.3333333,94.84882251
89,It16,Macroenvironment 3,120.6666667,123.9781212
90,Ca16,Macroenvironment 1,54.33333333,52.37302203
90,Ne16,Macroenvironment 2,122.6666667,93.27210258
90,It16,Macroenvironment 3,138.3333333,147.3900089
91,Ca16,Macroenvironment 1,47.33333333,46.81068317
91,Ne16,Macroenvironment 2,122.3333333,88.14215509
91,It16,Macroenvironment 3,129.6666667,131.5315282
92,Ca16,Macroenvironment 1,43.66666667,43.82586864
92,Ne16,Macroenvironment 2,97,71.0952633
92,It16,Macroenvironment 3,123.6666667,131.5124023
93,Ca16,Macroenvironment 1,48,45.71140087
93,Ne16,Macroenvironment 2,126,93.87371126
93,It16,Macroenvironment 3,125.3333333,126.8790587
94,Ca16,Macroenvironment 1,44.33333333,42.3977384
94,Ne16,Macroenvironment 2,58.66666667,43.97268178
94,It16,Macroenvironment 3,99,97.63754159
95,Ca16,Macroenvironment 1,45,43.39714161
95,Ne16,Macroenvironment 2,96.33333333,74.97099272
95,It16,Macroenvironment 3,113.6666667,111.1232634
96,Ca16,Macroenvironment 1,47,45.98834741
96,Ne16,Macroenvironment 2,85.33333333,63.02397212
96,It16,Macroenvironment 3,109,106.0758064
97,Ca16,Macroenvironment 1,47.33333333,46.42732245
97,Ne16,Macroenvironment 2,107.3333333,87.02300886
97,It16,Macroenvironment 3,135,142.7646859
98,Ca16,Macroenvironment 1,49,46.29220857
98,Ne16,Macroenvironment 2,114,90.95941257
98,It16,Macroenvironment 3,123.3333333,122.4087649
99,Ca16,Macroenvironment 1,49.33333333,47.6747052
99,Ne16,Macroenvironment 2,91.33333333,66.63422228
99,It16,Macroenvironment 3,113.6666667,109.0317891
100,Ca16,Macroenvironment 1,51.33333333,49.96235491
100,Ne16,Macroenvironment 2,127.5,93.58991249
100,It16,Macroenvironment 3,134,143.3954293
101,Ca16,Macroenvironment 1,47.66666667,46.01083027
101,Ne16,Macroenvironment 2,129.3333333,99.8945039
101,It16,Macroenvironment 3,123.3333333,125.5544826
102,Ca16,Macroenvironment 1,51,48.57413316
102,Ne16,Macroenvironment 2,128.6666667,97.06935006
102,It16,Macroenvironment 3,127.6666667,124.7192506
103,Ca16,Macroenvironment 1,47.33333333,45.29888106
103,Ne16,Macroenvironment 2,122,85.28571681
103,It16,Macroenvironment 3,131.3333333,142.9859809
104,Ca16,Macroenvironment 1,49.33333333,47.38144093
104,Ne16,Macroenvironment 2,91,67.84141448
104,It16,Macroenvironment 3,113.6666667,110.0643293
105,Ca16,Macroenvironment 1,44,43.74783929
105,Ne16,Macroenvironment 2,65,48.83351446
105,It16,Macroenvironment 3,105,100.7306763
106,Ca16,Macroenvironment 1,47,45.74375246
106,Ne16,Macroenvironment 2,97.33333333,77.66493014
106,It16,Macroenvironment 3,121,119.610743
107,Ca16,Macroenvironment 1,49.33333333,47.1565083
107,Ne16,Macroenvironment 2,85,63.35887565
107,It16,Macroenvironment 3,110.6666667,109.1480295
108,Ca16,Macroenvironment 1,49.33333333,47.71590305
108,Ne16,Macroenvironment 2,128.6666667,98.77576611
108,It16,Macroenvironment 3,128,127.4250794
109,Ca16,Macroenvironment 1,46.33333333,45.31877019
109,Ne16,Macroenvironment 2,119,91.52474904
109,It16,Macroenvironment 3,120.6666667,125.7135515
110,Ca16,Macroenvironment 1,45,44.15298555
110,Ne16,Macroenvironment 2,99,74.68907583
110,It16,Macroenvironment 3,113.6666667,109.5752029
111,Ca16,Macroenvironment 1,46,45.58838586
111,Ne16,Macroenvironment 2,98.33333333,77.50970769
111,It16,Macroenvironment 3,116.3333333,112.1471346
112,Ca16,Macroenvironment 1,43.33333333,42.32051489
112,Ne16,Macroenvironment 2,83.33333333,65.36584482
112,It16,Macroenvironment 3,110,110.2422595
113,Ca16,Macroenvironment 1,45,43.19955671
113,Ne16,Macroenvironment 2,90.66666667,69.56904755
113,It16,Macroenvironment 3,121,113.3931374
114,Ca16,Macroenvironment 1,45.33333333,44.27187177
114,Ne16,Macroenvironment 2,89.66666667,70.07358886
114,It16,Macroenvironment 3,118.3333333,115.3746406
115,Ca16,Macroenvironment 1,47,46.6011873
115,Ne16,Macroenvironment 2,124.6666667,98.04751106
115,It16,Macroenvironment 3,132,132.7417493
116,Ca16,Macroenvironment 1,50,47.6454159
116,Ne16,Macroenvironment 2,113.6666667,80.63334974
116,It16,Macroenvironment 3,131.6666667,138.5310661
117,Ca16,Macroenvironment 1,47,46.25403972
117,Ne16,Macroenvironment 2,107,74.063972
117,It16,Macroenvironment 3,127.6666667,139.0450712
118,Ca16,Macroenvironment 1,46.33333333,43.65034594
118,Ne16,Macroenvironment 2,112.3333333,77.17095826
118,It16,Macroenvironment 3,120.6666667,122.9141703
119,Ca16,Macroenvironment 1,46.33333333,45.56645968
119,Ne16,Macroenvironment 2,124,97.07858651
119,It16,Macroenvironment 3,121,120.3818851
120,Ca16,Macroenvironment 1,45.66666667,44.30081049
120,Ne16,Macroenvironment 2,114.6666667,84.8237111
120,It16,Macroenvironment 3,120.6666667,126.9870977
121,Ca16,Macroenvironment 1,46.33333333,44.26972318
121,Ne16,Macroenvironment 2,108.3333333,79.55280209
121,It16,Macroenvironment 3,120.6666667,119.514035
122,Ca16,Macroenvironment 1,45,43.31018135
122,Ne16,Macroenvironment 2,100.6666667,84.48749957
122,It16,Macroenvironment 3,115.3333333,116.1111976
123,Ca16,Macroenvironment 1,44.66666667,43.52850353
123,Ne16,Macroenvironment 2,98.33333333,75.53433048
123,It16,Macroenvironment 3,120.6666667,115.0190333
124,Ca16,Macroenvironment 1,45.66666667,44.59976415
124,Ne16,Macroenvironment 2,93.33333333,70.39835724
124,It16,Macroenvironment 3,116.3333333,111.004338
125,Ca16,Macroenvironment 1,49.33333333,48.11631319
125,Ne16,Macroenvironment 2,103.3333333,80.29184531
125,It16,Macroenvironment 3,121,125.7156399
126,Ca16,Macroenvironment 1,61.33333333,59.59989187
126,Ne16,Macroenvironment 2,126.3333333,98.43500351
126,It16,Macroenvironment 3,145,147.3494697
127,Ca16,Macroenvironment 1,44,43.09459086
127,Ne16,Macroenvironment 2,89.66666667,68.66743785
127,It16,Macroenvironment 3,113.6666667,110.921799
128,Ca16,Macroenvironment 1,56,55.15523057
128,Ne16,Macroenvironment 2,104.5,84.54853439
128,It16,Macroenvironment 3,132.6666667,138.8196411
129,Ca16,Macroenvironment 1,46.66666667,45.36301007
129,Ne16,Macroenvironment 2,79,57.1399036
129,It16,Macroenvironment 3,108,104.3621547
130,Ca16,Macroenvironment 1,53,50.97633539
130,Ne16,Macroenvironment 2,139,99.34308996
130,It16,Macroenvironment 3,132.6666667,134.8965762
131,Ca16,Macroenvironment 1,51.66666667,49.94195259
131,Ne16,Macroenvironment 2,120.3333333,87.38249491
131,It16,Macroenvironment 3,141,148.386069
132,Ca16,Macroenvironment 1,48.66666667,46.92842171
132,Ne16,Macroenvironment 2,123,93.72126563
132,It16,Macroenvironment 3,134.3333333,142.9113933
133,Ca16,Macroenvironment 1,51.66666667,49.66794927
133,Ne16,Macroenvironment 2,126,99.23723854
133,It16,Macroenvironment 3,148,138.9650754
134,Ca16,Macroenvironment 1,53,50.39038895
134,Ne16,Macroenvironment 2,121.3333333,93.51598511
134,It16,Macroenvironment 3,148,147.297804
135,Ca16,Macroenvironment 1,47,46.72770553
135,Ne16,Macroenvironment 2,112.3333333,86.71372938
135,It16,Macroenvironment 3,133.3333333,142.037868
136,Ca16,Macroenvironment 1,51,49.99284964
136,Ne16,Macroenvironment 2,115.3333333,92.96538577
136,It16,Macroenvironment 3,136,142.4231197
137,Ca16,Macroenvironment 1,49.66666667,48.37704568
137,Ne16,Macroenvironment 2,136,101.0257009
137,It16,Macroenvironment 3,137.3333333,141.3182568
138,Ca16,Macroenvironment 1,49.33333333,48.1925509
138,Ne16,Macroenvironment 2,123,96.93134062
138,It16,Macroenvironment 3,138.6666667,143.6515968
139,Ca16,Macroenvironment 1,50.66666667,50.17699664
139,Ne16,Macroenvironment 2,108.6666667,93.38339557
139,It16,Macroenvironment 3,134.3333333,141.1052736
140,Ca16,Macroenvironment 1,50,48.19167959
140,Ne16,Macroenvironment 2,128.6666667,99.08784031
140,It16,Macroenvironment 3,131.6666667,128.9544269
141,Ca16,Macroenvironment 1,48.33333333,47.07498255
141,Ne16,Macroenvironment 2,117,89.98229651
141,It16,Macroenvironment 3,132,141.5668506
142,Ca16,Macroenvironment 1,50,47.50387505
142,Ne16,Macroenvironment 2,130.6666667,100.7018755
142,It16,Macroenvironment 3,134,131.9596505
143,Ca16,Macroenvironment 1,52.33333333,51.72114949
143,Ne16,Macroenvironment 2,121.3333333,97.40701598
143,It16,Macroenvironment 3,133.6666667,137.2415688
144,Ca16,Macroenvironment 1,44,42.91544856
144,Ne16,Macroenvironment 2,100,74.37909923
144,It16,Macroenvironment 3,113.6666667,111.2325679
145,Ca16,Macroenvironment 1,44.66666667,42.58340011
145,Ne16,Macroenvironment 2,91.33333333,69.28575464
145,It16,Macroenvironment 3,113.6666667,109.9812806
146,Ca16,Macroenvironment 1,49.66666667,49.50296775
146,Ne16,Macroenvironment 2,120,93.19340348
146,It16,Macroenvironment 3,137,142.2015561
147,Ca16,Macroenvironment 1,49.66666667,49.09022285
147,Ne16,Macroenvironment 2,123,89.78688437
147,It16,Macroenvironment 3,138,143.4992328
148,Ca16,Macroenvironment 1,58.33333333,57.17274682
148,Ne16,Macroenvironment 2,138,103.5339468
148,It16,Macroenvironment 3,145,140.5848324
149,Ca16,Macroenvironment 1,49.66666667,48.43213855
149,Ne16,Macroenvironment 2,118.5,98.49434749
149,It16,Macroenvironment 3,144.6666667,148.357542
150,Ca16,Macroenvironment 1,50.33333333,49.52136678
150,Ne16,Macroenvironment 2,123.6666667,97.02617633
150,It16,Macroenvironment 3,143,144.2045886
151,Ca16,Macroenvironment 1,51,50.55633142
151,Ne16,Macroenvironment 2,124.5,94.66069274
151,It16,Macroenvironment 3,136.3333333,141.9816488
152,Ca16,Macroenvironment 1,45,44.25591159
152,Ne16,Macroenvironment 2,112.3333333,88.26819485
152,It16,Macroenvironment 3,123,124.2628575
153,Ca16,Macroenvironment 1,49,49.44945648
153,Ne16,Macroenvironment 2,112.6666667,79.31496412
153,It16,Macroenvironment 3,133.6666667,143.2385507
154,Ca16,Macroenvironment 1,43.33333333,41.58573151
154,Ne16,Macroenvironment 2,78,61.48161801
154,It16,Macroenvironment 3,106.3333333,106.6456145
155,Ca16,Macroenvironment 1,49,46.30922673
155,Ne16,Macroenvironment 2,122,94.95827806
155,It16,Macroenvironment 3,132.6666667,132.9197785
156,Ca16,Macroenvironment 1,45.66666667,43.97071114
156,Ne16,Macroenvironment 2,96.33333333,72.68869478
156,It16,Macroenvironment 3,114,109.3200844
157,Ca16,Macroenvironment 1,43,40.04076753
157,Ne16,Macroenvironment 2,73.66666667,59.58494439
157,It16,Macroenvironment 3,106.6666667,106.505791
158,Ca16,Macroenvironment 1,49,48.78078468
158,Ne16,Macroenvironment 2,130,101.7171884
158,It16,Macroenvironment 3,146.3333333,147.7213254
159,Ca16,Macroenvironment 1,45.66666667,44.48426865
159,Ne16,Macroenvironment 2,87,72.44016031
159,It16,Macroenvironment 3,116.3333333,114.824149
160,Ca16,Macroenvironment 1,53.33333333,50.77358577
160,Ne16,Macroenvironment 2,125,100.792142
160,It16,Macroenvironment 3,134,136.2851663
161,Ca16,Macroenvironment 1,56.66666667,56.88050358
161,Ne16,Macroenvironment 2,146,102.9144269
161,It16,Macroenvironment 3,146.3333333,140.0257937
162,Ca16,Macroenvironment 1,52,51.1760572
162,Ne16,Macroenvironment 2,113.6666667,95.25190664
162,It16,Macroenvironment 3,133.6666667,142.2842453
163,Ca16,Macroenvironment 1,55,52.60289435
163,Ne16,Macroenvironment 2,120,99.52161143
163,It16,Macroenvironment 3,138.6666667,144.7288878
164,Ca16,Macroenvironment 1,51,49.64966121
164,Ne16,Macroenvironment 2,123.6666667,94.75941669
164,It16,Macroenvironment 3,143.6666667,142.0095284
165,Ca16,Macroenvironment 1,52,51.2512916
165,Ne16,Macroenvironment 2,110.3333333,92.5904363
165,It16,Macroenvironment 3,127,137.196325
166,Ca16,Macroenvironment 1,49.66666667,49.20353304
166,Ne16,Macroenvironment 2,117.6666667,97.8471481
166,It16,Macroenvironment 3,134.3333333,138.1008423
167,Ca16,Macroenvironment 1,49,48.97493458
167,Ne16,Macroenvironment 2,116,93.63843156
167,It16,Macroenvironment 3,145,149.0993323
168,Ca16,Macroenvironment 1,53.66666667,51.32465774
168,Ne16,Macroenvironment 2,130,101.1667309
168,It16,Macroenvironment 3,144,140.5586181
169,Ca16,Macroenvironment 1,53.66666667,49.37542743
169,Ne16,Macroenvironment 2,133,101.0220503
169,It16,Macroenvironment 3,133.3333333,131.0067746
170,Ca16,Macroenvironment 1,44,42.63644904
170,Ne16,Macroenvironment 2,96.33333333,72.41656609
170,It16,Macroenvironment 3,114,111.9428222
171,Ca16,Macroenvironment 1,48.33333333,47.20875243
171,Ne16,Macroenvironment 2,113.3333333,92.78919843
171,It16,Macroenvironment 3,143.6666667,144.8293532
172,Ca16,Macroenvironment 1,47,45.88333772
172,Ne16,Macroenvironment 2,107.3333333,86.51802296
172,It16,Macroenvironment 3,137.6666667,143.4060936
173,Ca16,Macroenvironment 1,50.33333333,47.46331787
173,Ne16,Macroenvironment 2,113.6666667,79.35134977
173,It16,Macroenvironment 3,128,134.2657781
174,Ca16,Macroenvironment 1,53,51.27605618
