"Entry","Name","Origin","Region","DTF_Culter","P1","P2","P3","P4","P5","P6","P7","P8","STR_Group"
266,"PI_431888_LSP_AGL","Iran","Asia",6,0.149049,0,0,0,0,0.85095,0,0,"P6"
267,"PI_431923_LSP_AGL","Iran","Asia",6,0,0,0,0,0,1,0,0,"P6"
268,"PI_431980_LSP_AGL","Iran","Asia",4,0.882402,0,0,0,0,0,0.117598,0,"P1"
269,"PI_432000_LSP_AGL","Iran","Asia",6,0,0,0.002437,0,0,0.997563,0,0,"P6"
270,"PI_432001_LSP_AGL","Iran","Asia",6,0.596685,0,0,0,0,0.350803,0.052512,0,"Mix"
271,"PI_432002_LSP_AGL","Iran","Asia",6,0,0,0.640235,0,0,0.359765,0,0,"Mix"
272,"PI_432005_LSP_AGL","Iran","Asia",5,0.594049,0,0.399776,0,0,0,0.006175,0,"Mix"
273,"PI_432028_LSP_AGL","Iran","Asia",6,0,0,1,0,0,0,0,0,"P3"
274,"PI_432033_LSP_AGL","Iran","Asia",6,0,0,1,0,0,0,0,0,"P3"
275,"PI_432085_LSP_AGL","Iran","Asia",4,0.999985,0,0,0,0,0,1.5e-05,0,"P1"
276,"PI_432106_LSP_AGL","Iran","Asia",4,0.275011,0,0,0,0,0,0.724989,0,"Mix"
277,"PI_432124_LSP_AGL","Iran","Asia",4,0,0,1,0,0,0,0,0,"P3"
278,"PI_432145_LSP_AGL","Iran","Asia",6,0,0,1,0,0,0,0,0,"P3"
279,"PI_432147_LSP_AGL","Iran","Asia",6,0,0,1,0,0,0,0,0,"P3"
280,"PI_432184_LSP_AGL","Iran","Asia",4,0.901911,0,0.037412,0,0,0.060677,0,0,"P1"
281,"PI_432188_LSP_AGL","Iran","Asia",4,1,0,0,0,0,0,0,0,"P1"
282,"PI_432190_LSP_AGL","Iran","Asia",7,0,0,0,0,0,0,0.172547,0.827453,"P8"
283,"PI_432201_LSP_AGL","Iran","Asia",6,0,0,0,0,0,0,0,1,"P8"
284,"PI_432212_LSP_AGL","Iran","Asia",6,0,0,1,0,0,0,0,0,"P3"
285,"PI_432236_LSP_AGL","Jordan","Asia",6,0,0,1,0,0,0,0,0,"P3"
286,"PI_432245_LSP_AGL","Lebanon","Asia",4,0.933097,0,0,0,0,0,0.066903,0,"P1"
287,"PI_432271_LSP_AGL","Turkey","Asia",8,0,0,0,0,0,0,0,1,"P8"
288,"PI_432286_LSP_AGL","Egypt","Africa",7,0,1,0,0,0,0,0,0,"P2"
289,"PI_451763_LSP_AGL","USA","Americas",4,0,0,0,0,0,0,0.221947,0.778053,"Mix"
290,"PI_458503_LSP_AGL","Mexico","Americas",4,0,0,0,0,0,0,0.317848,0.682152,"Mix"
291,"PI_468900_LSP_AGL","Brazil","Americas",7,0,0,0,0,0,0,0.295265,0.704735,"Mix"
292,"PI_468901_AGL","Brazil","Americas",8,0,0,0,0,0,0,0.165863,0.834137,"P8"
293,"PI_468902_LSP_AGL","Brazil","Americas",4,0,0,0,0,0,0,0.121432,0.878567,"P8"
294,"PI_472136_LSP_AGL","India","Asia",2,0,0,0,1,0,0,0,0,"P4"
295,"PI_472205_LSP_AGL","India","Asia",1,0,0,0,1,0,0,0,0,"P4"
296,"PI_472213_LSP_AGL","India","Asia",4,0.527636,0,0,0.472363,0,0,0,0,"Mix"
297,"PI_472327_LSP_AGL","India","Asia",2,0,0,0,1,0,0,0,0,"P4"
298,"PI_472380_LSP_AGL","India","Asia",2,0,0,0,1,0,0,0,0,"P4"
299,"PI_472416_LSP_AGL","India","Asia",2,0,0,0,1,0,0,0,0,"P4"
300,"PI_472488_LSP_AGL","India","Asia",2,0,0,0,1,0,0,0,0,"P4"
301,"PI_472559_LSP_AGL","India","Asia",2,0,0,0,1,0,0,0,0,"P4"
302,"PI_472561_LSP_AGL","India","Asia",2,0,0,0,1,0,0,0,0,"P4"
303,"PI_472569_LSP_AGL","Egypt","Africa",2,0,0,0,1,0,0,0,0,"P4"
304,"PI_472588_LSP_AGL","Egypt","Africa",6,0,0.330389,0.669611,0,0,0,0,0,"Mix"
305,"PI_472590_LSP_AGL","Lebanon","Asia",5,0.45831,0,0.54169,0,0,0,0,0,"Mix"
306,"PI_472615_LSP_AGL","Jordan","Asia",2,0,0.091812,0.000709,0.015358,0.194943,0,0.697178,0,"Mix"
307,"PI_472629_LSP_AGL","Iran","Asia",4,0.91852,0,0,0,0,0.08148,0,0,"P1"
308,"PI_477921_LSP_AGL","USA","Americas",4,0,0,0,0,0,0,0.387726,0.612273,"Mix"
309,"PI_490288_LSP_AGL","France","Europe",7,0,0,0,0,0,0,0,1,"P8"
310,"PI_490289_LSP_AGL","France","Europe",6,0,0,0,0,0,0,0.20681,0.79319,"Mix"
311,"PI_508090_AGL","USA","Americas",4,0,0,0,0,0,0,0.362935,0.637064,"Mix"
312,"PI_518733_LSP_AGL","Brazil","Americas",8,0,0,0,0,0,0,0.175239,0.82476,"P8"
313,"PI_518734_LSP_AGL","Brazil","Americas",8,0,0,0,0,0,0,0.139283,0.860717,"P8"
314,"PI_533688_LSP_AGL","Spain","Europe",7,0,0,0,0,0,0,0.780678,0.219322,"Mix"
315,"PI_533693_LSP_AGL","Spain","Europe",7,0,0,0,0,0,0,0,1,"P8"
316,"PI_612875_AGL","Syria","Asia",5,0,0.571288,0,0.428712,0,0,0,0,"Mix"
317,"PI_643451_AGL","Ethiopia","Africa",2,0,0.420444,0,0.579555,0,0,0,0,"Mix"
318,"PI_643452_AGL","Syria","Asia",2,0,0.420363,0,0.579637,0,0,0,0,"Mix"
319,"Shasta_AGL","USA","Americas",3,0.016325,0,0.002668,0,0,0.049163,0.323487,0.608357,"Mix"
320,"W6_27754_LSP_AGL","USDA",NA,8,0.030376,0,0,0,0.022194,0,0,0.947429,"P8"
321,"W6_27760_LSP_AGL","USDA",NA,3,0,0,0,0,0,0,0.256745,0.743255,"Mix"
322,"W6_27763_LSP_AGL","USDA",NA,5,0,0,0,0,1,0,0,0,"P5"
323,"W6_27766_LSP_AGL","USDA",NA,2,0,0.621093,0,0,0,0,0.127817,0.25109,"Mix"
324,"W6_27767_LSP_AGL","USDA",NA,5,0,1,0,0,0,0,0,0,"P2"
