"Entry","Name","Origin","Region","DTF_Culter","P1","P2","P3","P4","P5","P6","P7","P8","STR_Group"
54,"ILL_11547_AGL","Ethiopia","Africa",1,0,0,0,0.0208,0.49833,0,0,0.480869,"Mix"
55,"ILL_11548_AGL","Ethiopia","Africa",1,0,0.044685,0,0,0,0,0.369975,0.58534,"Mix"
56,"ILL_11553_AGL","India","Asia",2,0,0,0,0,0,0,0,1,"P8"
57,"ILL_11555_AGL","India","Asia",1,0,0,0,0.598333,0.11544,0,0.286227,0,"Mix"
58,"ILL_11557_AGL","India","Asia",1,0.083551,0,0.055978,0.820031,0,0,0.039194,0.001246,"P4"
59,"ILL_11558_AGL","India","Asia",1,0,0,0.099594,0.900406,0,0,0,0,"P4"
60,"ILL_1220_AGL","Iran","Asia",4,0.803006,0,0,0,0,0.146196,0.050798,0,"P1"
61,"ILL_1553_AGL","Iran","Asia",4,0.998973,0,0,0,0,0.001027,0,0,"P1"
62,"ILL_1762_AGL","Afghanistan","Asia",6,0,0,0.063049,0.088492,0,0.848459,0,0,"P6"
63,"ILL_1983_AGL","Ethiopia","Africa",2,0,0,0,1,0,0,0,0,"P4"
64,"ILL_213_AGL","Afghanistan","Asia",5,0,0,0.106178,0.070215,0,0.823607,0,0,"P6"
65,"ILL_2194_AGL","Pakistan","Asia",5,0,0.028724,0,0,0.592333,0,0.378943,0,"Mix"
66,"PI_431893_LSP_AGL","Iran","Asia",3,0.0053,0,0.018729,0,0,0.475777,0,0.500195,"Mix"
67,"ILL_2507_AGL","India","Asia",2,0,0,0,1,0,0,0,0,"P4"
68,"ILL_2580_AGL","India","Asia",2,0,0,0,0.430384,0.569616,0,0,0,"Mix"
69,"ILL_28_AGL","Syria","Asia",5,0,0.184508,0,0,0,0,0.815492,0,"P7"
70,"ILL_3025_AGL","India","Asia",2,0,0,0,1,0,0,0,0,"P4"
71,"ILL_313_AGL","Israel","Asia",5,0,0,0,0,0,0,0.371755,0.628245,"Mix"
72,"ILL_3347_AGL","India","Asia",2,0,0,0,1,0,0,0,0,"P4"
73,"ILL_358_AGL","Ethiopia","Africa",5,0,0,0,0,0.583704,0,0.176831,0.239464,"Mix"
74,"ILL_3597_AGL","India","Asia",2,0,0,0,1,0,0,0,0,"P4"
75,"ILL_4164_AGL","India","Asia",5,0,1,0,0,0,0,0,0,"P2"
