"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1985/1986","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","24794","","","","0"
"1986/1987","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","31006","","","","0"
"1987/1988","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","26685","","","","0"
"1988/1989","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","26308","","","","0"
"1989/1990","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","25834","","","","0"
"1990/1991","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","28484","","","","0"
"1991/1992","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","49475","","","","0"
"1992/1993","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","48458","","","","0"
"1993/1994","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","52844","","","","0"
"1994/1995","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","53426","","","","0"
"1995/1996","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","49106","","","","0"
"1996/1997","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","59423","","","","0"
"1997/1998","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","58708","","","","0"
"1998/1999","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","56084","","","","0"
"1999/2000","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","55973","","","","0"
"2000/2001","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","55419","","","","0"
"2001/2002","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","51980","","","","0"
"2002/2003","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","52192","","","","0"
