"REF_DATE","GEO","DGUID","Non-permanent resident types","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-10","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","163726","","","","0"
"2025-01","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","160689","","","","0"
"2021-07","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","7038","","","","0"
"2021-10","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","8044","","","","0"
"2022-01","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","7955","","","","0"
"2022-04","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","7965","","","","0"
"2022-07","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","9341","","","","0"
"2022-10","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","10832","","","","0"
"2023-01","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","12060","","","","0"
"2023-04","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","12248","","","","0"
"2023-07","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","13870","","","","0"
"2023-10","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","15568","","","","0"
"2024-01","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","16063","","","","0"
"2024-04","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","16766","","","","0"
"2024-07","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","17843","","","","0"
"2024-10","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","18088","","","","0"
"2025-01","Newfoundland and Labrador","2021A000210","Total, non-permanent residents","Persons","249","units","0","v1566927601","2.1","17585","","","","0"
"2021-07","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","272","","","","0"
"2021-10","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","237","","","","0"
"2022-01","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","213","","","","0"
"2022-04","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","204","","","","0"
"2022-07","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","220","","","","0"
"2022-10","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","224","","","","0"
"2023-01","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","279","","","","0"
"2023-04","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","341","","","","0"
"2023-07","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","392","","","","0"
"2023-10","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","354","","","","0"
"2024-01","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","445","","","","0"
"2024-04","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","499","","","","0"
"2024-07","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","536","","","","0"
"2024-10","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","535","","","","0"
"2025-01","Newfoundland and Labrador","2021A000210","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927602","2.2","561","","","","0"
"2021-07","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","127","","","","0"
"2021-10","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","108","","","","0"
"2022-01","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","87","","","","0"
"2022-04","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","73","","","","0"
"2022-07","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","90","","","","0"
"2022-10","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","112","","","","0"
"2023-01","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","147","","","","0"
"2023-04","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","206","","","","0"
"2023-07","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","219","","","","0"
"2023-10","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","201","","","","0"
"2024-01","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","270","","","","0"
"2024-04","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","338","","","","0"
"2024-07","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","365","","","","0"
"2024-10","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","378","","","","0"
"2025-01","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927603","2.3","394","","","","0"
"2021-07","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927604","2.4","11","","","","0"
"2021-10","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927604","2.4","5","","","","0"
"2022-01","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927604","2.4","9","","","","0"
"2022-04","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927604","2.4","14","","","","0"
"2022-07","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927604","2.4","8","","","","0"
"2022-10","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927604","2.4","5","","","","0"
"2023-01","Newfoundland and Labrador","2021A000210","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927604","2.4","7","","","","0"
