"REF_DATE","GEO","DGUID","Gender (3)","Age (15C)","Statistics (3)","Place of birth (290)","Non-permanent resident type (10)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Americas","Not a non-permanent resident","","0","units","0","","1.1.2.1.17.8","80505","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Europe","Total - Non-permanent resident type","","0","units","0","","1.1.2.1.77.1","62470","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Europe","Asylum claimants","","0","units","0","","1.1.2.1.77.3","1905","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Europe","Non-permanent residents with a study permit only","","0","units","0","","1.1.2.1.77.5","4255","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Europe","Other non-permanent resident types","","0","units","0","","1.1.2.1.77.7","4775","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Europe","Not a non-permanent resident","","0","units","0","","1.1.2.1.77.8","51530","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Africa","Total - Non-permanent resident type","","0","units","0","","1.1.2.1.135.1","94520","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Africa","Asylum claimants","","0","units","0","","1.1.2.1.135.3","8640","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Africa","Non-permanent residents with a study permit only","","0","units","0","","1.1.2.1.135.5","2595","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Africa","Other non-permanent resident types","","0","units","0","","1.1.2.1.135.7","1955","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Africa","Not a non-permanent resident","","0","units","0","","1.1.2.1.135.8","81330","","","","0"
