"REF_DATE","GEO","DGUID","Principal trading partner","North American Product Classification System (NAPCS)","Trade","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","United States","Natural gas [142]","Export","Dollars","81","thousands","3","v1073209760","1.1.14.1","6798819.1","","","","1"
"1999","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","86598.6","","","","1"
"2000","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","227319.2","","","","1"
"2001","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","290870.5","","","","1"
"2002","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","718224.4","","","","1"
"2003","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","1809842.9","","","","1"
"2004","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","2581751.8","","","","1"
"2005","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","3558357.6","","","","1"
"2006","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","2369307.5","","","","1"
"2007","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","3135949.0","","","","1"
"2008","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","4485876.6","","","","1"
"2009","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","3167664.7","","","","1"
"2010","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","3535746.8","","","","1"
"2011","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","4015394.6","","","","1"
"2012","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","2954521.1","","","","1"
"2013","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","3799634.6","","","","1"
"2014","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","4995107.0","","","","1"
"2015","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","2827352.5","","","","1"
"2016","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","2116244.0","","","","1"
"2017","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","3421195.7","","","","1"
"2018","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","2832101.0","","","","1"
"2019","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","3064755.1","","","","1"
"2020","Canada","2016A000011124","United States","Natural gas [142]","Import","Dollars","81","thousands","3","v1073209761","1.1.14.2","1888658.2","","","","1"
"1999","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","977308.1","","","","1"
"2000","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","1816118.6","","","","1"
"2001","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2021925.8","","","","1"
"2002","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","1614282.0","","","","1"
"2003","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2021400.2","","","","1"
"2004","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2134587.1","","","","1"
"2005","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2374557.4","","","","1"
"2006","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2307640.0","","","","1"
"2007","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2295518.0","","","","1"
"2008","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2870595.2","","","","1"
"2009","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","1919982.2","","","","1"
