"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","556.8","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","569.2","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","569.1","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","546.1","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","545.7","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","588.4","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","577.3","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","691.7","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","861.7","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","855.5","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","791.9","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","628.1","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","637.0","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","664.2","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","604.0","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","629.3","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","866.4","","","","1"
