"Name","Cotyledon_Color","DTF_Sask_2017","DTF_Nepal_2017","Het","MAF","MCF"
"PI_432188_LSP_AGL","Yellow",46.3,116.7,0.0445532849180882,0.309565337550475,0.0318461680248062
"PI_432190_LSP_AGL","Yellow",54,121.7,0.0238114718083446,0.180889006057411,0.0189019731424307
"PI_432201_LSP_AGL","Red",52,119.7,0.0334652290643557,0.24103588093913,0.0277702628379122
"PI_432212_LSP_AGL","Red",48.3,122.3,0.0478338944332691,0.411144853719298,0.00831234930893934
"PI_432236_LSP_AGL","Red",49.3,122,0.0489865538536109,0.407556593152068,0.0309186097328216
"PI_432245_LSP_AGL","Yellow",44.7,116,0.038688164727177,0.306130734224664,0.0736487229722297
"PI_432271_LSP_AGL","Red",55.3,122.7,0.0323293719100746,0.239926499139331,0.0276364803919528
"PI_432286_LSP_AGL","Red",52.7,135,0.041146029356417,0.331518943670807,0.052106776229535
"PI_451763_LSP_AGL","Yellow",46,119.7,0.0241820376008478,0.182471009121483,0.0293875439623982
"PI_458503_LSP_AGL","Yellow",49,120.7,0.0351638078079194,0.260168528717058,0.0396471710958566
"PI_468900_LSP_AGL","Yellow",51.7,122.7,0.0281329690069269,0.218972733268695,0.0218749163859713
"PI_468901_AGL","Red",60.3,128.3,0.0299414867010652,0.22144916929915,0.114416693670901
"PI_468902_LSP_AGL","",47.7,118.3,0.0295332177060554,0.221637885528995,0.0143949911852233
"PI_472136_LSP_AGL","Red",43.3,98.7,0.0491111333412932,0.379876342819526,0.0787175912024664
"PI_472205_LSP_AGL","Red",44.3,90,0.0497558160323948,0.381976180692999,0.0521751539241364
"PI_472213_LSP_AGL","Red",47.3,123,0.0499185637378623,0.343878604020838,0.0435328079151641
"PI_472327_LSP_AGL","Red",44,100,0.048910849619245,0.384392537263603,0.0204835789479943
"PI_472380_LSP_AGL","Red",44,98.3,0.0479165960227746,0.385188519006033,0.0355861306251802
"PI_472416_LSP_AGL","Red",46,108.3,0.0493142164467895,0.374896187107057,0.158773006864526
"PI_472488_LSP_AGL","Red",44.3,104.3,0.0478017898065524,0.382236682072488,0.0711455047611686
"PI_472559_LSP_AGL","Red",43.3,102.7,0.0471902812170545,0.379894329075441,0.0299405114056968
"PI_472561_LSP_AGL","Red",45.7,102.7,0.049451204963016,0.380431612715077,0.102908430375156
"PI_472569_LSP_AGL","Red",43.5,105,0.0475548050200027,0.377810354067224,0.0458160283262032
"PI_472588_LSP_AGL","Yellow",49.7,124,0.0464679933086606,0.369116820709566,0.0794162328646984
"PI_472590_LSP_AGL","Yellow",48,123,0.0438273903028872,0.361663745849564,0.0177782005963724
"PI_472615_LSP_AGL","Yellow",45.7,119,0.0395492479319656,0.303999523466233,0.0267654080215955
"PI_472629_LSP_AGL","Yellow",46.3,118,0.0437266692698165,0.345002733307302,0.0482865441615854
"PI_477921_LSP_AGL","",47.3,121,0.162429404016528,0.169394272929034,0.0114190749984392
"PI_490288_LSP_AGL","Yellow",54.7,123.3,0.0288808199837264,0.205963985810448,0.07561383845621
"PI_490289_LSP_AGL","Yellow",48.3,121.3,0.0306854693663539,0.226351825093434,0.0247616442754491
"PI_508090_AGL","Yellow",46.3,120.7,0.0219193839075369,0.159317660374109,0.0333593961357684
"PI_518733_LSP_AGL","Red",59.3,121.7,0.190880322209436,0.122899285577292,0.00794073140349678
"PI_518734_LSP_AGL","Red",60.3,123,0.0262497961494555,0.197476561033622,0.0338142564520301
"PI_533688_LSP_AGL","Yellow",53.3,139,0.036237897648686,0.269039495927463,0.0327529157140861
"PI_533693_LSP_AGL","Yellow",54.7,123.3,0.0271026656239801,0.202614208040591,0.0343820886115463
"PI_612875_AGL","Red",45,116.7,0.0481368640212965,0.374388672817081,0.0261648734864003
"PI_643451_AGL","Red",46,108.3,0.0482343977024188,0.371626353083442,0.0362699075711946
"PI_643452_AGL","Red",44,108.7,0.0483612820456382,0.370143039968807,0.0545356708595076
"Shasta_AGL","Yellow",50,119.5,0.0222427816969276,0.165307813885355,0.074546551831779
"W6_27754_LSP_AGL","Yellow",58,126.7,0.192156986565208,0.180915018234059,0.0584242806220586
"W6_27760_LSP_AGL","Red",53.3,113.7,0.0333994171284194,0.249876483758396,0.0492646424887103
"W6_27763_LSP_AGL","Red",46.3,125.3,0.0412436637319741,0.347790906665543,0.153103604099094
"W6_27766_LSP_AGL","Red",47,106.3,0.0398285138939659,0.303350520422495,0.0728519741829609
"W6_27767_LSP_AGL","Red",49.3,129.3,0.045268834258525,0.351157811260904,0.0627796424738455
