"Name","Cotyledon_Color","DTF_Sask_2017","DTF_Nepal_2017","Het","MAF","MCF"
"DPL_62_AGL","Red",42.7,96.3,0.0540598011488771,0.374505985886613,0.0213338407156469
"Eston_AGL","Yellow",49,122.7,0.0271975165388267,0.209858496963486,0.0135922965094673
"Gudo_AGL","Yellow",45.3,118,0.0367156410754149,0.2869173420363,0.0198325043776589
"IG_1046_AGL","Yellow",47.3,124.3,0.0441999853579193,0.343675098595315,0.0660112317795741
"IG_1706_AGL","Red",46,130.3,0.0418996778771733,0.343248800084003,0.122300939152771
"IG_1959_AGL","Yellow",47.3,121.7,0.0464339162982299,0.397270716203645,0.0444871226963406
"IG_4258_AGL","Red",44.3,106,0.0441634335891417,0.356191394135461,0.0222227507454655
"IG_4781_AGL","Yellow",54.7,141.7,0.0491367053911083,0.399653209176028,0.0715736085882384
"IG_858_AGL","Yellow",48,125,0.0897033929969686,0.368302461815382,0.0849845555598498
"ILL_10657_AGL","Red",44.3,107.7,0.0385695326804212,0.278848044335762,0.0322594071356584
"ILL_10748_AGL","Yellow",48,96.7,0.0342973691878225,0.253050795948355,0.0510989484699748
"ILL_11547_AGL","",43.3,104.5,0.0533769934817532,0.317596804274099,0.033989660103399
"ILL_11548_AGL","Yellow",44.3,102,0.034877577817255,0.25687958600448,0.0377325956470165
"ILL_11553_AGL","Red",45.7,100,0.0298436231336114,0.222417116541983,0.0406847282878523
"ILL_11555_AGL","",44,95.3,0.0465831065743652,0.340614293569445,0.156552218261601
"ILL_11557_AGL","Yellow",45,95.7,0.0518818600463973,0.356192652608982,0.141384261833057
"ILL_11558_AGL","Red",43.3,96.3,0.0497319313137837,0.380848658997519,0.0978098327124837
"ILL_1220_AGL","Yellow",47,122.3,0.0424430199430199,0.315292022792023,0.165197537213817
"ILL_1553_AGL","Yellow",46.7,114.7,0.0425737451535157,0.327093484753222,0.0921344840605648
"ILL_1762_AGL","Red",51.7,132,0.0472993948111743,0.379696821606071,0.0327439968843555
"ILL_1983_AGL","Red",47,107,0.0470794116875967,0.374914794326613,0.0928242068930662
"ILL_213_AGL","Red",45,147.5,0.0453535647113454,0.372356240625115,0.110088088308306
