"Name","Origin","Cluster","P1","P2","P3","P4","P5","P6","P7","P8","STR_Group","Region"
"ILL_7978_AGL","Ethiopia",2,0,0.007009,0,0,0.593542,0,0.399449,0,"Mix","Africa"
"ILL_7979_AGL","ICARDA",2,0,0,0,0.707303,0.060585,0,0.232112,0,"Mix","ICARDA"
"ILL_8007_AGL","Bangladesh",1,0,0.309837,0,0.690163,0,0,0,0,"Mix","Asia"
"ILL_8009_AGL","Bangladesh",2,0,0,0,1,0,0,0,0,"P4","Asia"
"ILL_8010_AGL","Bangladesh",2,0,0,0,0.689569,0.111891,0,0.19854,0,"Mix","Asia"
"ILL_8072_AGL","India",5,0,0.030128,0,0,0,0,0.848157,0.121714,"P7","Asia"
"ILL_8174_AGL","ICARDA",3,0,0,0,0,0,0,0.365629,0.634371,"Mix","ICARDA"
"ILL_8595_AGL","Ecuador",4,0,0,0,0,0,0,0.347897,0.652103,"Mix","Americas"
"ILL_9_AGL","Jordan",2,0,0.036653,0,0.049217,0.227843,0,0.686287,0,"Mix","Asia"
"ILL_975_AGL","Chile",5,0,0,0,0,0.923387,0,0.076613,0,"P5","Americas"
"ILL_9888_AGL","ICARDA",2,0,0,0,0,0.669927,0,0.267818,0.062254,"Mix","ICARDA"
"ILL_9932_AGL","ICARDA",2,0,0.392022,0,0.607978,0,0,0,0,"Mix","ICARDA"
"ILL_9945_AGL","ICARDA",2,0.065214,0,0,0.643437,0.083715,0,0.207634,0,"Mix","ICARDA"
"ILL_9977_AGL","Jordan",2,0,0.331423,0,0.668577,0,0,0,0,"Mix","Asia"
"ILL_9997_AGL","ICARDA",2,0.055684,0,0.120779,0.823537,0,0,0,0,"P4","ICARDA"
"ILWL_118_AGL","Syria",3,0,0,0,0.898442,0,0,0.101557,0,"P4","Asia"
"Indianhead_AGL","Canada",8,0,0,0,0,0,0,0,1,"P8","Americas"
"IPL_220_AGL","India",1,0.011727,0,0.068565,0.919708,0,0,0,0,"P4","Asia"
"Laird_AGL","Canada",8,0,0,0,0,0,0,0.178175,0.821825,"P8","Americas"
"LIRL.22.46_AGL","India",1,0,0,0,0.222119,0,0,0.569821,0.20806,"Mix","Asia"
"PI_163589_AGL","Guatemala",7,0,0,0,0,0,0,1,0,"P7","Americas"
"PI_169534_LSP_AGL","Turkey",6,0,0,0,0,0,0,0,1,"P8","Asia"
"PI_175754_LSP_AGL","Turkey",4,0.365169,0.103801,0,0,0,0,0.117983,0.413048,"Mix","Asia"
"PI_177430_LSP_AGL","Turkey",7,0.161351,0.421836,0.096788,0.192258,0,0.127768,0,0,"Mix","Asia"
"PI_178939_LSP_AGL","Turkey",6,0,0,0,0,0,0,0,1,"P8","Asia"
"PI_178952_AGL","Turkey",4,1,0,0,0,0,0,0,0,"P1","Asia"
"PI_178971_LSP_AGL","Turkey",6,0,0,0,0,0,1,0,0,"P6","Asia"
"PI_179324_LSP_AGL","Turkey",6,0,1,0,0,0,0,0,0,"P2","Asia"
"PI_179330_AGL","Turkey",6,1,0,0,0,0,0,0,0,"P1","Asia"
"PI_181771_LSP_AGL","Lebanon",7,0,0,0,0,0,1,0,0,"P6","Asia"
"PI_181886_LSP_AGL","Syria",5,0,0.116541,0,0,0,0,0.883458,0,"P7","Asia"
"PI_182217_LSP_AGL","Turkey",4,0.807818,0,0,0,0,0.192182,0,0,"P1","Asia"
"PI_193546_AGL","Ethiopia",5,0,1,0,0,0,0,0,0,"P2","Africa"
"PI_193546_AGL","Ethiopia",5,0,1,0,0,0,0,0,0,"P2","Africa"
"PI_193547_LSP_AGL","Ethiopia",7,0,0,0,0,0,1,0,0,"P6","Africa"
"PI_193547_LSP_AGL","Ethiopia",7,0,0,0,0,0,1,0,0,"P6","Africa"
"PI_193548_LSP_AGL","Ethiopia",2,0,0,0,0,1,0,0,0,"P5","Africa"
"PI_193548_LSP_AGL","Ethiopia",2,0,0,0,0,1,0,0,0,"P5","Africa"
"PI_193550_AGL","Ethiopia",1,0,0,0,0,1,0,0,0,"P5","Africa"
"PI_193550_AGL","Ethiopia",1,0,0,0,0,1,0,0,0,"P5","Africa"
"PI_207492_LSP_AGL","Afghanistan",6,0,0,0,0,0,1,0,0,"P6","Asia"
"PI_518731_LSP_AGL","Brazil",6,0,0.045778,0,0,0,0,0,0.954222,"P8","Americas"
"PI_209858_LSP_AGL","Greece",8,0,0,0,0,1,0,0,0,"P5","Europe"
"PI_211052_LSP_AGL","Afghanistan",6,0,0,0,0,0,1,0,0,"P6","Asia"
"PI_212100_LSP_AGL","Afghanistan",6,0,0,0,0,0,1,0,0,"P6","Asia"
"PI_212610_LSP_AGL","Afghanistan",7,0,0,0,0,0,1,0,0,"P6","Asia"
"PI_217949_LSP_AGL","Pakistan",2,0,0,0,1,0,0,0,0,"P4","Asia"
"PI_238758_LSP_AGL","Belgium",3,0,0,0,0,0,0,0.293954,0.706046,"Mix","Europe"
"PI_244046_AGL","Yemen",1,0,0,0,0,1,0,0,0,"P5","Asia"
"PI_250156_LSP_AGL","Pakistan",5,0,0,0,1,0,0,0,0,"P4","Asia"
"PI_250158_LSP_AGL","Pakistan",2,0,0,0,1,0,0,0,0,"P4","Asia"
"PI_251248_LSP_AGL","Egypt",1,0,0,0,0,1,0,0,0,"P5","Africa"
"PI_273664_LSP_AGL","Ethiopia",6,0,0,0,1,0,0,0,0,"P4","Africa"
"PI_273664_LSP_AGL","Ethiopia",6,0,0,0,1,0,0,0,0,"P4","Africa"
"PI_280686_AGL","Egypt",2,0.010298,0,0,0.062843,0.746979,0,0.179881,0,"Mix","Africa"
"PI_283604_LSP_AGL","Portugal",7,0,0,0,0,0,0,1,0,"P7","Europe"
"PI_289066_AGL","Czech Republic",8,0,0,0,0,0.957217,0,0.042783,0,"P5","Europe"
"PI_289073_LSP_AGL","Hungary",7,0,0,0,0,0,0,0,1,"P8","Europe"
"PI_289079_LSP_AGL","Egypt",7,0,0,0,0,0,0,0,1,"P8","Africa"
"PI_290716_LSP_AGL","Unknown",7,0,0,0,0,0,1,0,0,"P6","ICARDA"
"PI_297285_LSP_AGL","Argentina",7,0,0,0,0,0,0,0.382212,0.617788,"Mix","Americas"
"PI_297287_AGL","Argentina",6,0,0,0,0,0,0,0.647182,0.352818,"Mix","Americas"
"PI_297754_LSP_AGL","Greece",6,0,0,0,0,0,0,0,1,"P8","Europe"
"PI_297767_AGL","Greece",7,0,0,0,0,0.048852,0,0.951148,0,"P7","Europe"
"PI_297772_LSP_AGL","Greece",7,0,1,0,0,0,0,0,0,"P2","Europe"
"PI_297783_AGL","Ethiopia",2,0,0,0,0,1,0,0,0,"P5","Africa"
"PI_297783_AGL","Ethiopia",2,0,0,0,0,1,0,0,0,"P5","Africa"
"PI_297787_LSP_AGL","Russia",6,0,0,0,0,0,1,0,0,"P6","Europe"
"PI_298023_LSP_AGL","Turkey",4,0.895947,0,0,0,0,0,0.104053,0,"P1","Asia"
"PI_298121_LSP_AGL","France",3,0,0.029901,0,0,0,0,0.221651,0.748449,"Mix","Europe"
"PI_298122_LSP_AGL","France",7,0,0,0,0,0,0,0,1,"P8","Europe"
"PI_298357_LSP_AGL","Egypt",4,0.802846,0.001066,0,0,0,0,0,0.196088,"P1","Africa"
"PI_298631_LSP_AGL","Peru",8,0,0,0,0,0,0,1,0,"P7","Americas"
"PI_298644_LSP_AGL","Spain",8,0,0,0,0,0,0,0.857244,0.142756,"P7","Europe"
