"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","71.32","","","","2"
"2023","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","74.00","","","","2"
"2024","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","69.76","","","","2"
"1998","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","110.24","","","","2"
"1999","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","99.34","","","","2"
"2000","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","103.53","","","","2"
"2001","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","105.96","","","","2"
"2002","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","101.10","","","","2"
"2003","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","106.03","","","","2"
"2004","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","100.84","","","","2"
"2005","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","97.31","","","","2"
"2006","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","100.00","","","","2"
"2007","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","101.45","","","","2"
"2008","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","95.66","","","","2"
"2009","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","95.55","","","","2"
"2010","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","90.01","","","","2"
"2011","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","81.72","","","","2"
"2012","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","77.42","","","","2"
"2013","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","66.16","","","","2"
"2014","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","60.62","","","","2"
"2015","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","60.42","","","","2"
"2016","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","59.85","","","","2"
"2017","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","62.86","","","","2"
"2018","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","56.75","","","","2"
"2019","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","55.02","","","","2"
"2020","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","42.72","","","","2"
"2021","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","41.18","","","","2"
"2022","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","50.42","","","","2"
"2023","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","54.21","","","","2"
"2024","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","52.46","","","","2"
"1998","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","86.59","","","","2"
"1999","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","83.51","","","","2"
"2000","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","89.31","","","","2"
"2001","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","91.38","","","","2"
"2002","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","87.26","","","","2"
"2003","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","92.62","","","","2"
"2004","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","87.84","","","","2"
"2005","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","94.11","","","","2"
"2006","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","100.00","","","","2"
"2007","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","102.05","","","","2"
"2008","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","95.73","","","","2"
"2009","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","96.69","","","","2"
"2010","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","93.24","","","","2"
"2011","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","87.47","","","","2"
"2012","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","82.34","","","","2"
"2013","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","71.23","","","","2"
"2014","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","64.84","","","","2"
"2015","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","66.39","","","","2"
"2016","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","70.88","","","","2"
"2017","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","80.74","","","","2"
"2018","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","77.27","","","","2"
"2019","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","79.71","","","","2"
"2020","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","66.46","","","","2"
"2021","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","64.32","","","","2"
"2022","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","83.21","","","","2"
"2023","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","86.82","","","","2"
"2024","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","83.28","","","","2"
"1998","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","128.25","","","","2"
"1999","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","111.40","","","","2"
"2000","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","114.36","","","","2"
"2001","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","117.07","","","","2"
"2002","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","111.65","","","","2"
"2003","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","116.23","","","","2"
"2004","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","110.74","","","","2"
"2005","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","99.75","","","","2"
"2006","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","100.00","","","","2"
"2007","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","100.99","","","","2"
"2008","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","95.61","","","","2"
"2009","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","94.68","","","","2"
"2010","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","87.56","","","","2"
"2011","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","77.29","","","","2"
"2012","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","73.59","","","","2"
"2013","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","62.27","","","","2"
"2014","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","57.37","","","","2"
"2015","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","55.93","","","","2"
"2016","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","51.77","","","","2"
"2017","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","50.08","","","","2"
"2018","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","42.23","","","","2"
"2019","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","37.67","","","","2"
