"REF_DATE","GEO","DGUID","Vehicle type","Fuel type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1956-05","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","65438","","","","0"
"1956-06","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","58587","","","","0"
"1956-07","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","51564","","","","0"
"1956-08","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","42468","","","","0"
"1956-09","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","33578","","","","0"
"1956-10","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","33963","","","","0"
"1956-11","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","31398","","","","0"
"1956-12","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","31282","","","","0"
"1957-01","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","32745","","","","0"
"1957-02","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","32342","","","","0"
"1957-03","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","45749","","","","0"
