"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","245367","","","","0"
"2025","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","259028","","","","0"
"1955","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","99003","","","","0"
"1956","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","90620","","","","0"
"1957","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","82955","","","","0"
"1958","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","104508","","","","0"
"1959","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","92178","","","","0"
"1960","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","67171","","","","0"
"1961","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","76430","","","","0"
"1962","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","74443","","","","0"
"1963","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","77158","","","","0"
"1964","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","77079","","","","0"
"1965","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","75441","","","","0"
"1966","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","70642","","","","0"
"1967","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","72534","","","","0"
"1968","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","75339","","","","0"
"1969","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","78404","","","","0"
"1970","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","70749","","","","0"
"1971","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","98056","","","","0"
"1972","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","115570","","","","0"
"1973","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","131552","","","","0"
"1974","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","122143","","","","0"
"1975","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","123929","","","","0"
"1976","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","134313","","","","0"
"1977","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","108403","","","","0"
"1978","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","110029","","","","0"
"1979","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","109117","","","","0"
"1980","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","87721","","","","0"
"1981","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","89071","","","","0"
