"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","3600","","","","0"
"1981","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","3600","","","","0"
"1982","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","5700","","","","0"
"1983","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","5600","","","","0"
"1984","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","6000","","","","0"
"1985","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","5700","","","","0"
"1986","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","5300","","","","0"
"1987","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","4400","","","","0"
"1988","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","4600","","","","0"
"1989","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","4800","","","","0"
"1990","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","6100","","","","0"
"1991","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","8200","","","","0"
"1992","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","7900","","","","0"
"1993","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","7900","B","","","0"
"1994","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","7700","B","","","0"
"1995","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","7400","B","","","0"
"1996","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","7200","C","","","0"
"1997","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","6400","B","","","0"
"1998","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","7400","C","","","0"
"1999","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","6600","C","","","0"
"2000","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","5800","C","","","0"
"2001","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","7000","B","","","0"
"2002","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","6900","C","","","0"
"2003","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","6600","B","","","0"
"2004","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","7000","C","","","0"
"2005","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","8100","B","","","0"
"2006","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","8400","B","","","0"
"2007","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","9000","B","","","0"
"2008","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","9300","B","","","0"
"2009","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","10200","B","","","0"
"2010","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","9700","C","","","0"
"2011","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","9100","C","","","0"
"2012","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","10000","B","","","0"
"2013","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","10000","B","","","0"
"2014","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","10600","B","","","0"
"2015","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","10900","B","","","0"
"2016","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","12000","B","","","0"
"2017","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","11800","B","","","0"
"2018","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","11900","B","","","0"
"2019","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","11800","C","","","0"
"2020","Quebec","2016A000224","Median government transfers","Economic families","2020 constant dollars","425","units","0","v96413332","7.6.2","21300","A","","","0"
"1976","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","0","","","","0"
"1977","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","1000","","","","0"
"1978","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","4200","","","","0"
"1979","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","0","","","","0"
"1980","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","1200","","","","0"
"1981","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","2900","","","","0"
"1982","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","5000","","","","0"
"1983","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","5300","","","","0"
"1984","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","5500","","","","0"
"1985","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","7300","","","","0"
"1986","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","2700","","","","0"
"1987","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","4600","","","","0"
"1988","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","6100","","","","0"
"1989","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","7200","","","","0"
"1990","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","7800","","","","0"
"1991","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","8600","","","","0"
"1992","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","9500","","","","0"
"1993","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","9300","C","","","0"
"1994","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","8600","C","","","0"
"1995","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","7600","D","","","0"
"1996","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","8600","C","","","0"
"1997","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","8300","C","","","0"
"1998","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","7700","D","","","0"
"1999","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","3900","E","","","0"
"2000","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","4500","E","","","0"
"2001","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","4300","E","","","0"
"2002","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","5000","E","","","0"
"2003","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","3200","E","","","0"
"2004","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","3800","E","","","0"
"2005","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","2700","E","","","0"
"2006","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","3000","E","","","0"
"2007","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","4300","E","","","0"
"2008","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","","F","","","0"
"2009","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","","F","","","0"
"2010","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","5000","E","","","0"
