"REF_DATE","GEO","DGUID","Age (15C)","Gender (3)","Statistics (2)","Religion (25)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Age","Women+","% distribution (2021)","Jewish","","0","units","0","","1.1.3.2.20","0.5","","","","1"
"2021","Canada","2021A000011124","Total - Age","Women+","% distribution (2021)","Muslim","","0","units","0","","1.1.3.2.21","2.4","","","","1"
"2021","Canada","2021A000011124","Total - Age","Women+","% distribution (2021)","Sikh","","0","units","0","","1.1.3.2.22","1.0","","","","1"
"2021","Canada","2021A000011124","Total - Age","Women+","% distribution (2021)","Traditional (North American Indigenous) spirituality","","0","units","0","","1.1.3.2.23","0.1","","","","1"
"2021","Canada","2021A000011124","Total - Age","Women+","% distribution (2021)","Other religions and spiritual traditions","","0","units","0","","1.1.3.2.24","0.4","","","","1"
"2021","Canada","2021A000011124","Total - Age","Women+","% distribution (2021)","No religion and secular perspectives","","0","units","0","","1.1.3.2.25","16.4","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","2021 Counts","Total - Religion","","0","units","0","","1.2.1.1.1","5992555","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","2021 Counts","Buddhist","","0","units","0","","1.2.1.1.2","31605","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","2021 Counts","Christian","","0","units","0","","1.2.1.1.3","2570485","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","2021 Counts","Hindu","","0","units","0","","1.2.1.1.19","142820","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","2021 Counts","Jewish","","0","units","0","","1.2.1.1.20","57445","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","2021 Counts","Muslim","","0","units","0","","1.2.1.1.21","466230","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","2021 Counts","Sikh","","0","units","0","","1.2.1.1.22","129870","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","2021 Counts","Traditional (North American Indigenous) spirituality","","0","units","0","","1.2.1.1.23","23415","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","2021 Counts","Other religions and spiritual traditions","","0","units","0","","1.2.1.1.24","25055","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","2021 Counts","No religion and secular perspectives","","0","units","0","","1.2.1.1.25","2545640","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","% distribution (2021)","Total - Religion","","0","units","0","","1.2.1.2.1","16.5","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","% distribution (2021)","Buddhist","","0","units","0","","1.2.1.2.2","0.1","","","","1"
