"Entry","Name","Origin","Source","Lat","Lon","CollDate","CollDate_Group","a","b","c","DTF_Cluster","DTF_PC1","DTF_PC2","DTF_PC3","myG_PC1","myG_PC2","myG_PC3","STR_Group","G1","G2","G3","G4","G5","G6","G7","G8","Region","SubRegion","ISO3","Country_Lat","Country_Lon","Size","SeedMass1000","diameter","CotyledonColor","TestaColor","TestaPattern","BlackTesta","Urls"
37,"CN 105865 AGL","Tunisia","PGRC",NA,NA,NA,NA,-0.0190166238086651,0.000275616625684726,0.00214618757334887,7,3.59680833388688,-0.371308065897691,0.828210462683448,-193.386129667687,-218.364207020294,-11.757348960449,"G7",0,0,0,0,0,0,1,0,"Africa","Northern Africa","TUN",34.11956663,9.55288287,"L",66.7554479418886,0.584,"Yellow","Green","Mottle1","Mottle","http://pgrc3.agr.ca/cgi-bin/npgs/html/acchtml.pl?130268"
38,"CN 105895 AGL","Egypt","PGRC",NA,NA,2000,"1980-2000",-0.0177646589821386,0.000498972481159658,0.00198170754739302,2,-5.44243122522614,0.97814633589249,0.781324876440488,-75.97098703143,-332.758820361126,12.6985294274133,"G5",0,0,0,0,1,0,0,0,"Africa","Northern Africa","EGY",26.49593108,29.8618993,"S",33.8837516512549,0.396,"Red","Brown","Dotted;Spotted","Pattern","http://pgrc3.agr.ca/cgi-bin/npgs/html/acchtml.pl?130250"
39,"CN 106265 AGL","Egypt","PGRC",NA,NA,1949,"1940-1960",-0.0177828544003165,0.000365320725312842,0.00194445388596368,7,2.85567791280834,0.920708776105761,0.211752777023307,-128.857661392348,106.029803673942,14.550501850652,"G8",0.03067,0,0,0,0.057155,0.029849,0.063454,0.818872,"Africa","Northern Africa","EGY",26.49593108,29.8618993,"M",40.272952853598,0.438,"Red/Yellow","Grey","Mottle1","Absent","https://purl.org/germplasm/id/dd488052-f251-429d-aa9c-66edcea3399e;https://training.ars-grin.gov/gringlobal/AccessionDetail.aspx?id=1160169;http://grs.icarda.org/accessions/?IG=202;http://pgrc3.agr.ca/cgi-bin/npgs/html/acchtml.pl?129829"
40,"CN 108369 AGL","Libya","PGRC",NA,NA,1976,"1960-1980",-0.0167158761128132,0.000418944518643289,0.0018179154267016,7,1.80209846240038,2.21771117792532,-0.09145081745091,-175.929696585843,84.4907497547338,4.32372819390456,"Mix",0,0,0,0,0,0,0.286622,0.713378,"Africa","Northern Africa","LBY",27.03094247,18.00865782,"L",68.6832061068702,0.547,"Yellow","Green","Mottle1","Mottle","http://pgrc3.agr.ca/cgi-bin/npgs/html/acchtml.pl?130427"
41,"CN 108370 AGL","Libya","PGRC",NA,NA,1976,"1960-1980",-0.0167100090480766,0.00047313661501811,0.00169975403734945,8,4.6401272267422,3.31218064980532,-1.22596184461887,-133.207383512986,208.583232828346,-0.450477037759915,"G8",0,0,0,0,0,0,0,1,"Africa","Northern Africa","LBY",27.03094247,18.00865782,"S",26.1040235525025,0.377,"Yellow","Green","Mottle1","Mottle","http://pgrc3.agr.ca/cgi-bin/npgs/html/acchtml.pl?130428"
42,"Crimson AGL","USA","USDA",46.73,-117.16,1991,"1980-2000",-0.0156804776087309,0.000507412144928306,0.00168744311872413,3,-0.617467354456935,2.74221049747243,-0.289075257022454,-130.142793415033,80.6383573332223,4.86116138734656,"Mix",0,0,0,0,0,0.047977,0.283633,0.66839,"Americas","Northern America","USA",39,-101.5,"M",40.5511811023622,0.441,"Red","Brown","Mottle1","Mottle","https://training.ars-grin.gov/gringlobal/AccessionDetail.aspx?id=1438856"
43,"DPL 62 AGL","India","ICARDA",NA,NA,NA,NA,-0.0189954225605622,0.00055364317906423,0.00204474368817746,2,-6.11807406173429,0.547422623597789,0.314708457500865,230.435596175247,-3.8484449880974,-134.624979857389,"Mix",0.07207,0,0.156443,0.748369,0,0,0.023118,0,"Asia","Southern Asia","IND",22.88578035,79.61197355,"L",44.3809523809524,0.504,"Red","Grey","Dotted;Marbled","Pattern",NA
44,"Eston AGL","Canada","USASK",52.137,-106.622,1981,"1980-2000",-0.0217240167128442,0.000394776078535258,0.00227146086148513,4,0.907744825302846,-0.829542288608316,-1.07436454762568,-148.696745562503,176.076775719516,3.25633839270094,"G8",0,0,0,0,0,0,0,1,"Americas","Northern America","CAN",52.137,-106.622,"M",37.6361031518625,0.455,"Yellow","Green","Mottle1","Mottle","https://purl.org/germplasm/id/c7b26a05-d4ff-4907-ac5f-b14fa5090626;https://training.ars-grin.gov/gringlobal/AccessionDetail.aspx?id=1155245;http://grs.icarda.org/accessions/?IG=927"
45,"Gudo AGL","Ethiopia","ICARDA",NA,NA,NA,NA,-0.0201991732278126,0.000266592644113004,0.00236413362144943,2,-2.27089517353557,-0.235401224587816,0.915495508558247,-120.870520977506,-170.410703479059,-23.1240992285145,"Mix",0,0.060112,0,0,0.291594,0,0.648293,0,"Africa","Eastern Africa","ETH",8.62278417,39.6008014,"M",49.0672782874618,0.488,"Yellow","Green","Absent","Absent",NA
46,"IG 1046 AGL","Egypt","ICARDA",NA,NA,1973,"1960-1980",-0.0234543602733191,0.00046816438062412,0.00233776655445275,4,1.04371055306844,-1.70548123939121,-2.12200431337764,110.276295774179,69.9718360920404,81.7757520176467,"G1",0.938393,0,0,0,0,0.061607,0,0,"Africa","Northern Africa","EGY",26.49593108,29.8618993,"M",36.6314398943197,0.431,"Yellow","Green","Absent","Mottle","https://purl.org/germplasm/id/a2a24529-b307-4b2d-a4dd-ffdd6556ec50;https://training.ars-grin.gov/gringlobal/AccessionDetail.aspx?id=1326615;http://grs.icarda.org/accessions/?IG=1046"
